,idProd
1627,28145769
1628,28145490
1629,28145487
1630,28145513
1631,28145705
1632,28145391
1633,28145702
1634,28145413
1635,28145412
1636,28145728
1637,28145409
1638,28145407
1639,28145651
1640,28145731
1641,28145643
1642,28145398
1643,28145478
1644,28145395
1645,28145471
1646,28145432
1647,28145648
1648,28145759
1649,28145463
1650,28145452
1651,28145450
1652,28145583
1653,28145590
1654,28145568
1655,28145430
1656,28145439
1657,28145448
1658,28157452
1659,28157428
1660,28157422
1661,28157420
1662,28157414
1663,28157412
1664,28157608
1665,28157568
1666,28157674
1667,28157462
1668,28157795
1669,28157708
1670,28157780
1671,28157791
1672,28157727
1673,28157560
1674,28157694
1675,28157759
1676,28157661
1677,28157635
1678,28157582
1679,28157587
1680,28157551
1681,28157638
1682,28157807
1683,28157657
1684,28169343
1685,28169341
1686,28169338
1687,28169337
1688,28169334
1689,28169332
1690,28169330
1691,28169327
1692,28169298
1693,28169294
1694,28169288
1695,28168904
1696,28169418
1697,28169417
1698,28169381
1699,28169373
1700,28169554
1701,28169553
1702,28169666
1703,28169551
1704,28169664
1705,28169452
1706,28169663
1707,28169550
1708,28169662
1709,28169563
1710,28169548
1711,28169656
1712,28169465
1713,28169653
1714,28169652
1715,28169485
1716,28169461
1717,28169617
1718,28169615
1719,28169459
1720,28169605
1721,28169599
1722,28169477
1723,28169457
1724,28169476
1725,28169475
1726,28169447
1727,33137147
1728,33137154
1729,33137122
1730,33137106
1731,33137110
1732,33137090
1733,33137050
1734,33137167
1735,33137056
1736,33137052
1737,33137082
1738,33137093
1739,33137232
1740,33137200
1741,33137055
1742,33137059
1743,33137240
1744,33137219
1745,33137218
1746,33137127
1747,33137148
1748,33137126
1749,33136346
1750,33136343
1751,33137134
1752,33137202
1753,28773010
1754,28794016
1755,28794582
1756,28794580
1757,28795692
1758,28795584
1759,28795570
1760,28795564
1761,28795554
1762,28795573
1763,28795610
1764,28795596
1765,28795537
1766,28795569
1767,28795706
1768,28795606
1769,28795546
1770,28795665
1771,28795626
1772,28795695
1773,28795717
